provincia,region,localidad,de0a9Mbps,de10a20Mbps,de21a49Mbps,de50a99Mbps,de100a199Mbps,de200a499Mbps,de500a1024Mbps,otros,adsl,cableModem,dialUp,fibraOptica,otros_tec,satelital,wimax,wireless,totalTecnologia,latitud,longitud
Buenos Aires,Provincia de Buenos Aires,Huanguelén,412,1390,49,60,0,0,0,0,0,0,1,1384,0,0,0,527,1912,-37.0622288209544,-61.9297529087938
Buenos Aires,Provincia de Buenos Aires,Hurlingham,435,1060,4754,15167,9379,1604,258,3,548,15221,57,16573,65,0,0,296,32760,-34.5930931356257,-58.6357209509749
Buenos Aires,Provincia de Buenos Aires,Ignacio Correas,0,48,0,0,0,0,0,0,0,0,0,0,2,0,0,46,48,-35.0345600341406,-57.8440249586726
Buenos Aires,Provincia de Buenos Aires,Indio Rico,3,24,0,0,0,0,0,0,0,0,1,24,0,0,0,3,28,-38.3293770967784,-60.8866340266383
Buenos Aires,Provincia de Buenos Aires,Ingeniero Adolfo Sourdeaux,219,579,26,1260,1386,176,95,22,583,3068,0,1,1,0,0,110,3763,-34.5004325972609,-58.6618050648717
Buenos Aires,Provincia de Buenos Aires,Ingeniero Juan Allan,2510,148,925,3584,1122,136,77,0,2505,5087,0,907,0,0,0,0,8499,-34.8648075260046,-58.2110437322304
Buenos Aires,Provincia de Buenos Aires,Ingeniero Maschwitz,921,617,1126,2862,2621,360,108,23,1126,4227,3,2969,1,0,0,300,8626,-34.3790006332322,-58.7303342412363
Buenos Aires,Provincia de Buenos Aires,Ingeniero Pablo Nogués,750,884,284,1248,1416,235,83,16,1069,2992,3,847,3,0,0,1,4915,-34.4790933125467,-58.6989741628196
Buenos Aires,Provincia de Buenos Aires,Ingeniero White,0,0,0,0,1,0,0,4,0,0,0,1,0,4,0,0,5,-38.7794670416666,-62.262951248824
Buenos Aires,Provincia de Buenos Aires,Inocencio Sosa,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-35.7184196474894,-62.1142777365421
Buenos Aires,Provincia de Buenos Aires,Inés Indart,198,6,0,0,0,0,0,2,0,0,0,15,189,2,0,0,206,-34.3994163305262,-60.5436825925267
Buenos Aires,Provincia de Buenos Aires,Irala,25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,22,25,-34.7718230311122,-60.6916912010278
Buenos Aires,Provincia de Buenos Aires,Irineo Portela,76,1,0,0,0,0,0,1,0,0,0,1,0,1,0,76,78,-33.9810489198561,-59.6715601606315
Buenos Aires,Provincia de Buenos Aires,Isidro Casanova,810,1447,26407,9560,10091,798,428,1,191,21818,34,26985,61,0,0,253,49342,-34.7184291570686,-58.577751528605
Buenos Aires,Provincia de Buenos Aires,Ituzaingó Centro,658,1472,22737,10491,12187,1992,448,11,419,26821,122,22279,122,3,0,199,49965,-34.6440551161203,-58.688489332955
Buenos Aires,Provincia de Buenos Aires,Ituzaingó Sur,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,-34.6699430265699,-58.6733044157835
Buenos Aires,Provincia de Buenos Aires,Jeppener,559,111,1,0,0,0,0,7,676,0,0,2,0,0,0,0,678,-35.2802043920968,-58.1996649431989
